accession	domain	phylum	class	order	family	genus	species
RS_GCF_029258575.1	Bacteria	Spirochaetota	Brachyspiria	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira sp029258575
GB_GCA_944321895.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	CALUNA01	CALUNA01 sp944321895
GB_GCA_937875645.1	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-314	SFEB01	SFEB01 sp937875645
RS_GCF_000622385.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter noctilucicola
GB_GCA_023132915.1	Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	UBA9294	UBA9294 sp023132915
GB_GCA_902627325.1	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A sp902627325
GB_GCA_945952025.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	TMP-24	TMP-24 sp945952025
GB_GCA_026239495.1	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	Spiroplasma	Spiroplasma phoeniceum_A
GB_GCA_902765225.1	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Avelusimicrobium	Avelusimicrobium sp902765225
GB_GCA_040766745.1	Bacteria	Bacillota	Fermentithermobacillia	Fermentithermobacillales	Fermentithermobacillaceae	JAXGPX01	JAXGPX01 sp040766745
GB_GCA_037045435.1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cypionkella	Cypionkella sp018063485
RS_GCF_030518195.1	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides cremeus
RS_GCF_004211955.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp004211955
